Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,Â±5bpm (%),NaN (%)
S1,Driving,32.82,38.19,65.07,-69.98,-0.09,0.0,38.46
S1,Lunch,29.22,43.2,49.66,-5.13,-0.06,9.6,16.11
S1,Soccer,104.67,191.34,218.97,-108.6,-0.14,7.7,45.83
S1,Working,25.32,30.06,21.77,-0.85,-0.12,9.9,0.0
S1,Cycling,49.85,64.56,99.47,-3.22,-0.07,0.0,44.83
S1,Stairs,44.12,49.43,87.75,-2.11,0.02,0.0,32.0
S1,Walking,16.71,18.11,14.79,-27.64,-0.2,6.7,0.0
S1,Sitting,43.88,62.45,79.54,-28.5,-0.04,2.1,16.07
S10,Driving,10.37,18.59,15.9,-7.18,0.49,57.9,0.0
S10,Lunch,8.85,23.78,14.66,-107.33,0.14,60.7,6.87
S10,Soccer,22.27,35.85,32.78,-13.48,0.33,35.0,4.76
S10,Working,87.29,135.85,109.82,-139.89,-0.11,0.0,0.0
S10,Cycling,25.4,33.99,35.26,-85.07,0.41,18.8,0.0
S10,Stairs,22.53,36.07,34.07,-196.45,0.15,25.0,2.7
S10,Walking,10.36,15.98,16.09,-5.62,0.54,42.2,3.03
S10,Sitting,7.57,18.83,10.21,-6.85,0.92,66.7,4.0
S11,Driving,8.09,13.68,11.01,0.41,0.68,57.4,0.0
S11,Lunch,21.68,32.15,22.3,-0.91,0.31,26.9,2.68
S11,Soccer,15.81,36.04,23.45,-1.42,0.27,65.2,0.0
S11,Working,24.98,36.49,21.02,-9.68,0.04,19.7,1.39
S11,Cycling,5.82,7.9,9.49,0.67,0.92,56.2,0.0
S11,Stairs,25.17,43.23,40.23,-9.15,0.42,51.5,8.33
S11,Walking,31.01,37.87,21.64,-80.11,-0.24,12.2,0.0
S11,Sitting,18.24,25.14,25.43,-0.98,0.16,24.5,3.92
S12,Driving,85.82,107.7,195.56,-123.28,-0.24,0.0,27.27
S12,Lunch,72.1,117.89,151.83,-100.54,-0.27,11.8,25.27
S12,Soccer,65.08,87.19,143.44,-35.0,-0.15,0.0,33.33
S12,Working,24.49,36.01,29.14,-9.83,-0.18,19.7,0.0
S12,Cycling,55.95,69.1,121.32,-179.74,-0.21,0.0,19.35
S12,Stairs,84.57,104.42,191.04,-473.11,-0.12,0.0,21.62
S12,Walking,24.97,36.32,35.05,-44.8,0.14,9.4,0.0
S12,Sitting,111.39,156.98,207.89,-332.3,-0.1,0.0,9.8
S13,Driving,79.55,106.85,148.59,-72.69,-0.16,6.5,42.59
S13,Lunch,35.32,60.51,59.97,-13.84,-0.35,26.5,8.59
S13,Soccer,100.95,138.32,189.66,-66.37,-0.15,25.0,23.81
S13,Working,19.73,33.87,19.24,-7.09,0.15,19.2,0.0
S13,Cycling,62.48,88.6,112.67,-9.77,-0.12,5.9,46.88
S13,Stairs,50.4,79.18,98.43,-8.58,-0.07,36.4,42.11
S13,Walking,23.44,27.45,19.12,-8.87,-0.16,4.7,0.0
S13,Sitting,15.51,32.91,26.6,-8.28,-0.0,40.9,12.0
S14,Driving,2.33,3.52,3.84,0.84,0.92,91.2,1.72
S14,Lunch,12.31,21.37,15.54,-1.92,0.64,48.6,1.83
S14,Soccer,9.01,13.82,13.88,0.43,0.75,45.8,0.0
S14,Working,19.63,27.91,18.95,-1.97,-0.06,26.4,0.0
S14,Cycling,17.02,51.36,27.84,-12.78,0.19,48.1,18.18
S14,Stairs,15.49,28.75,25.05,-29.08,0.44,41.2,2.86
S14,Walking,16.9,31.98,18.77,-4.86,-0.29,37.8,0.0
S14,Sitting,8.6,14.24,12.5,-0.27,0.6,55.1,2.0
S15,Driving,214.13,263.89,382.0,-315.06,-0.29,8.3,51.02
S15,Lunch,73.25,105.95,125.88,-88.91,-0.25,15.6,28.89
S15,Soccer,85.53,112.88,172.47,-28.78,-0.12,0.0,42.31
S15,Working,20.17,29.6,18.8,-5.89,0.09,18.1,0.0
S15,Cycling,112.49,154.81,212.4,-239.84,-0.24,7.1,44.0
S15,Stairs,54.31,74.66,109.45,-17.37,-0.17,20.0,84.38
S15,Walking,24.38,34.79,29.93,-28.35,-0.05,22.5,0.0
S15,Sitting,23.7,31.39,38.29,-5.27,0.04,15.8,26.92
S2,Driving,66.93,117.39,108.09,-468.66,-0.01,30.4,0.0
S2,Lunch,62.3,87.37,99.2,-558.69,-0.29,6.8,3.9
S2,Soccer,33.46,48.1,47.63,-32.33,0.07,13.0,4.17
S2,Working,71.82,98.87,96.05,-176.97,-0.49,5.4,3.9
S2,Cycling,36.37,75.18,59.14,-4667.61,0.08,41.7,4.0
S2,Stairs,67.6,96.83,98.25,-443.36,0.42,10.5,5.0
S2,Walking,72.37,97.14,113.24,-243.58,-0.04,5.1,7.14
S2,Sitting,51.72,78.85,74.14,-82.19,-0.06,20.0,11.76
S3,Driving,35.67,58.79,64.02,-40.31,-0.1,16.7,45.45
S3,Lunch,35.56,79.25,56.54,-43.05,-0.08,29.1,19.12
S3,Soccer,31.96,37.13,62.61,-130.23,0.05,17.6,19.05
S3,Working,16.76,27.52,16.55,-7.89,0.04,30.6,0.0
S3,Cycling,15.16,19.52,20.85,0.11,0.85,7.7,51.85
S3,Stairs,62.14,80.97,119.04,-84.49,0.01,11.5,18.75
S3,Walking,18.33,23.34,20.57,-4.3,0.07,15.6,0.0
S3,Sitting,38.0,57.84,58.65,-23.56,0.07,13.3,8.16
S4,Driving,36.41,67.4,58.03,-153.86,0.2,36.2,6.45
S4,Lunch,33.36,53.66,40.28,-16.86,0.31,16.4,2.52
S4,Soccer,24.86,56.37,40.14,-15.58,0.1,21.7,8.0
S4,Working,35.89,48.19,37.63,-10.23,-0.3,8.2,1.35
S4,Cycling,8.38,12.74,12.46,0.31,0.65,55.2,3.33
S4,Stairs,90.18,317.05,143.2,-860.75,-0.06,16.2,5.13
S4,Walking,14.86,21.03,12.88,-29.09,0.24,16.7,0.0
S4,Sitting,53.27,82.06,76.4,-39.72,0.01,11.9,10.64
S5,Driving,6.79,12.16,7.03,-1.49,0.3,66.7,0.0
S5,Lunch,20.4,41.64,17.09,-7.02,0.65,49.3,0.0
S5,Soccer,3.77,6.45,3.56,0.8,0.9,81.8,0.0
S5,Working,39.23,45.49,23.35,-15.46,-0.16,5.3,0.0
S5,Cycling,3.71,8.32,3.51,0.48,0.72,85.7,0.0
S5,Stairs,3.01,3.7,3.32,0.88,0.95,85.3,0.0
S5,Walking,23.25,38.81,18.21,-84.67,0.12,18.8,8.57
S5,Sitting,14.21,22.26,11.83,-1.79,0.67,46.0,0.0
S6,Driving,2.17,2.73,2.54,0.56,0.87,91.9,0.0
S6,Soccer,1.68,2.18,2.01,0.63,0.87,95.2,0.0
S6,Cycling,2.56,3.32,3.04,-0.7,0.45,84.8,0.0
S6,Stairs,1.67,2.47,1.97,0.58,0.88,96.8,0.0
S6,Sitting,4.92,7.75,5.0,0.16,0.78,67.3,0.0
S7,Driving,137.66,183.19,265.1,-183.36,-0.16,2.6,38.1
S7,Lunch,45.49,78.09,75.83,-13.82,-0.16,14.0,15.69
S7,Soccer,90.76,130.09,176.44,-33.23,-0.11,15.4,38.1
S7,Working,18.87,25.19,16.7,-3.5,0.23,15.7,0.0
S7,Cycling,113.14,154.48,213.15,-25.65,-0.07,5.9,46.88
S7,Stairs,98.08,134.92,187.01,-15.47,0.1,0.0,53.33
S7,Walking,17.4,20.19,12.34,-3.37,0.52,14.0,0.0
S7,Sitting,37.19,76.84,64.98,-30.89,-0.13,11.6,15.69
S8,Driving,63.52,87.47,107.76,-649.99,-0.35,6.2,30.43
S8,Lunch,42.5,59.84,65.46,-53.05,0.08,5.7,7.02
S8,Soccer,109.96,231.58,205.08,-875.73,-0.3,0.0,21.74
S8,Working,38.17,53.83,42.24,-14.86,-0.26,9.9,0.0
S8,Cycling,79.14,115.25,137.66,-141.83,-0.03,7.4,3.57
S8,Stairs,75.95,119.83,134.16,-205.36,-0.22,7.1,15.15
S8,Walking,26.98,34.81,37.53,-106.7,-0.06,3.6,0.0
S8,Sitting,53.56,65.89,85.1,-147.61,-0.11,5.3,17.39
S9,Driving,74.25,95.26,127.71,-109.78,-0.12,3.7,10.0
S9,Lunch,36.78,57.2,52.46,-22.32,0.22,19.4,6.09
S9,Soccer,63.38,94.3,106.67,-41.05,0.06,5.0,9.09
S9,Working,40.68,55.43,31.32,-15.61,-0.33,11.0,1.35
S9,Cycling,90.2,114.73,154.66,-69.38,0.07,0.0,14.71
S9,Stairs,96.95,151.01,165.87,-122.95,-0.14,21.4,20.0
S9,Walking,42.97,56.55,45.76,-130.35,0.01,13.9,0.0
S9,Sitting,67.5,134.37,104.71,-137.73,-0.23,15.2,9.8
